ID,Site,StudyArea,Year,species,HatchDate,DayNumber,Method,LayDate,LayMethod,Kev's notes
37Rankin,37,Rankin,2016,PEFA,7/11/2016?,193,Estimated via retrcies and chick weight,6/7/2016,estimate,nest not found until chicks were around 2 weeks old. Not sure I'd be comfortable estimating this one.
41Rankin,41,Rankin,2016,PEFA,7/14/2016,196,Estimated via retrcies and chick weight,6/8/2016,estimate,
42Rankin,42,Rankin,2016,PEFA,7/15/2016,197,Estimated via retrcies and chick weight,-99,na,
51Rankin,51,Rankin,2016,PEFA,7/18/2016,200,Camera,6/10/2016,estimate,
53Rankin,53,Rankin,2016,PEFA,7/10/2016,192,Camera,6/5/2016,estimate,
58Rankin,58,Rankin,2016,PEFA,7/19/2016,201,Estimated via retrcies and chick weight,6/9/2016,estimate,
59Rankin,59,Rankin,2016,PEFA,7/16/2016,198,Estimated via retrcies and chick weight,6/12/2016,estimate,camera not placed until July 22
63Rankin,63,Rankin,2016,PEFA,7/11/2016,193,Camera,6/4/2016,estimate,
75Rankin,75,Rankin,2016,PEFA,7/8/2016,190,Camera,6/5/2016,estimate,
77Rankin,77,Rankin,2016,PEFA,7/12/2016,194,Camera,6/6/2016,camera,
78Rankin,78,Rankin,2016,PEFA,7/11/2016,193,Estimated via retrcies and chick weight,6/6/2016,estimate,
85Rankin,85,Rankin,2016,PEFA,7/10/2016,192,Camera,6/7/2016,estimate,
88Rankin,88,Rankin,2016,PEFA,,,,,,nest not found until August
89Rankin,89,Rankin,2016,PEFA,7/17/2016,199,Camera,6/12/2016,camera,
95Rankin,95,Rankin,2016,PEFA,7/7/2016,189,Estimated by mass at July 11 nest visit,,,
97Rankin,97,Rankin,2016,PEFA,7/16/2016,198,Estimated via retrcies and chick weight,6/10/2016,estimate,
98Rankin,98,Rankin,2016,PEFA,,,,,,unknown hatch date due to camera removal
100Rankin,100,Rankin,2016,PEFA,7/10/2016,192,Camera,6/4/2016,estimate,
110Rankin,110,Rankin,2016,PEFA,7/10/2016,192,Estimated via retrcies and chick weight,6/4/2016,camera,
130Rankin,130,Rankin,2016,PEFA,7/17/2016,199,Camera,6/9/2016,camera,
145Rankin,145,Rankin,2016,PEFA,7/14/2016,196,Camera,6/4/2016,camera,
147Rankin,147,Rankin,2016,PEFA,7/8/2016,190,Direct observation,,,
151Rankin,151,Rankin,2016,PEFA,,,,,,"no camera data, no nest visits"
152Rankin,152,Rankin,2016,PEFA,,,,,,"no camera data, no mass data"
1Rankin,1,Rankin,2015,PEFA,7/17/2015,196,Estimated,6/11/2015,estimate,"Camera died July 17 still showing eggs, possibly cracked. At first weigh in July 21, oldest chick was already big (~7 day mass per CWS Wainwright guide), so I think July 17 is best estimate."
4Rankin,4,Rankin,2015,PEFA,7/11/2015,192,Camera,6/7/2015,estimate,
8Rankin,8,Rankin,2015,PEFA,7/13/2015,194,Camera,6/9/2015,estimate,
12Rankin,12,Rankin,2015,PEFA,7/10/2015,191,Camera,6/6/2015,estimate,
20Rankin,20,Rankin,2015,PEFA,7/14/2015,,Camera,-99,na,
30Rankin,30,Rankin,2015,PEFA,7/16/2015,,Camera,-99,na,
33Rankin,33,Rankin,2015,PEFA,7/11/15?,,Estimated,-99,na,"Two chicks on July 13, both really small. I put this hatch date on July 12 in my site summary, maybe Nick projected that they hatched a day apart?"
35Rankin,35,Rankin,2015,PEFA,7/18/2015,,Camera,6/10/2015,camera,
39Rankin,39,Rankin,2015,PEFA,7/14/2015,,Camera,6/5/2015,camera,
53Rankin,53,Rankin,2015,PEFA,7/15/15?,,Estimated,6/12/2015,camera,"Three small nestlings, one still wet on July 19 nest visit. No camera data. The eldest was nearly 40-g (a bit larger than at first hatch), so I think it's probably more likely it hatched July 17, and the second one July 18, which is what I have in my site summary."
59Rankin,59,Rankin,2015,PEFA,7/18/2015,199,Direct observation,6/14/2015,camera,
67Rankin,67,Rankin,2015,PEFA,7/14/15?,,Estimated,-99,na,"estimate, possible cracked egg July 13. Masses from july 18 nest visit indicate oldest was 5-6 days old at that time. Undocumented nest visit July 13, so possible to confirm in notebook?"
72Rankin,72,Rankin,2015,PEFA,7/14/2015,,Camera,6/9/2015,camera,
75Rankin,75,Rankin,2015,PEFA,7/14/2015,,Camera,-99,na,
78Rankin,78,Rankin,2015,PEFA,7/12/15?,,Estimated,6/8/2015,estimate,"July 15 estimate, based on July 16 nest visit with 3 dry hatch mass chicks. 4th egg hatched that day."
85Rankin,85,Rankin,2015,PEFA,7/13/15?,,Estimated,-99,na,July 14 estimate based on wet chick and mass at first weigh in July 15
89Rankin,89,Rankin,2015,PEFA,7/16/2015,197,Camera,6/11/2015,camera,
95Rankin,95,Rankin,2015,PEFA,7/12/2015,,Estimated,-99,na,
97Rankin,97,Rankin,2015,PEFA,,,,,,"very poorly placed camera, so no data. Confirmed that they hatched, because parents were obviously provisioning, but never got view of the chicks before failure."
100Rankin,100,Rankin,2015,PEFA,,,,,,No camera data. First mass July 26 indicated it was around 2 weeks old.
119Rankin,119,Rankin,2015,PEFA,7/17/2015,,Camera,6/12/2015,camera,
130Rankin,130,Rankin,2015,PEFA,7/13/2015,,Camera,,,
3Rankin,3,Rankin,2014,PEFA,7/15/14?,,CHECK CAMERA,6/7/2014,estimate,
7Rankin,7,Rankin,2014,PEFA,7/11/14?,,CHECK CAMERA,-99,na,
8Rankin,8,Rankin,2014,PEFA,7/15/14?,,CHECK CAMERA,6/4/2014,estimate,
12Rankin,12,Rankin,2014,PEFA,7/9/2014,190,Camera,6/5/2014,estimate,
16Rankin,16,Rankin,2014,PEFA,,,CHECK CAMERA,6/4/2014,estimate,
19Rankin,19,Rankin,2014,PEFA,7/8/14?,,CHECK CAMERA,6/3/2014,estimate,
20Rankin,20,Rankin,2014,PEFA,7/11/2014,192,Camera,6/5/2014,estimate,
23Rankin,23,Rankin,2014,PEFA,7/10/14?,,CHECK CAMERA,6/4/2014,estimate,
28Rankin,28,Rankin,2014,PEFA,7/11/2014,192,Camera,6/5/2014,estimate,
31Rankin,31,Rankin,2014,PEFA,7/10/14?,,CHECK CAMERA,6/4/2014,estimate,
33Rankin,33,Rankin,2014,PEFA,7/11/2014,192,Camera,6/2/2014,estimate,
35Rankin,35,Rankin,2014,PEFA,7/16/2014,197,Camera,6/7/2014,estimate,
44Rankin,44,Rankin,2014,PEFA,7/14/2014,195,Camera,6/6/2014,estimate,
47Rankin,47,Rankin,2014,PEFA,7/12/2014,193,Camera,6/5/2014,estimate,
50Rankin,50,Rankin,2014,PEFA,7/11/2014,192,Camera,6/7/2014,estimate,
51Rankin,51,Rankin,2014,PEFA,7/10/2014,191,Camera,6/4/2014,estimate,
53Rankin,53,Rankin,2014,PEFA,,,CHECK CAMERA,-99,na,
59Rankin,59,Rankin,2014,PEFA,7/16/2014,197,Camera,6/9/2014,estimate,
63Rankin,63,Rankin,2014,PEFA,,,CHECK CAMERA,6/1/2014,estimate,
65Rankin,65,Rankin,2014,PEFA,,,CHECK CAMERA,6/6/2014,estimate,
67Rankin,67,Rankin,2014,PEFA,7/11/2014,192,Camera,6/6/2014,estimate,
72Rankin,72,Rankin,2014,PEFA,7/15/2014,196,Camera,6/11/2014,estimate,
75Rankin,75,Rankin,2014,PEFA,7/10/2014,191,Camera,6/8/2014,estimate,
76Rankin,76,Rankin,2014,PEFA,7/15/2014,196,Camera,6/7/2014,estimate,
77Rankin,77,Rankin,2014,PEFA,7/8/2014,189,Camera,6/4/2014,estimate,
78Rankin,78,Rankin,2014,PEFA,7/9/2014,190,Camera,6/5/2014,estimate,
79Rankin,79,Rankin,2014,PEFA,7/10/2014,191,Camera,6/6/2014,estimate,
80Rankin,80,Rankin,2014,PEFA,,,CHECK CAMERA,,,
85Rankin,85,Rankin,2014,PEFA,7/13/2014,194,Camera,6/8/2014,estimate,
88Rankin,88,Rankin,2014,PEFA,7/9/2014,190,Camera,6/3/2014,estimate,
95Rankin,95,Rankin,2014,PEFA,7/9/14?,,CHECK CAMERA,-99,na,
97Rankin,97,Rankin,2014,PEFA,7/13/2014,194,Camera,6/10/2014,estimate,
100Rankin,100,Rankin,2014,PEFA,7/10/2014,191,Camera,6/6/2014,estimate,
119Rankin,119,Rankin,2014,PEFA,7/13/2014,194,Camera,6/9/2014,estimate,
