"","id","site","year","trt","hatch","alive","yday"
"156","100bk17","100",2017,0,194,1,199
"157","100bk17","100",2017,0,194,1,200
"158","100bk17","100",2017,0,194,1,201
"159","100bk17","100",2017,0,194,1,202
"160","100bk17","100",2017,0,194,1,203
"161","100bk17","100",2017,0,194,1,204
"162","100bk17","100",2017,0,194,1,205
"163","100bk17","100",2017,0,194,1,206
"164","100bk17","100",2017,0,194,1,207
"165","100bk17","100",2017,0,194,1,208
"166","100bk17","100",2017,0,194,1,209
"167","100bk17","100",2017,0,194,1,210
"168","100bk17","100",2017,0,194,0,211
"169","100bk17","100",2017,0,194,0,212
"170","100bk17","100",2017,0,194,0,213
"171","100bk17","100",2017,0,194,0,214
"172","100bk17","100",2017,0,194,0,215
"173","100bk17","100",2017,0,194,0,216
"174","100bk17","100",2017,0,194,0,217
"175","100bk17","100",2017,0,194,0,218
"176","100bk17","100",2017,0,194,0,219
"177","100bk17","100",2017,0,194,0,220
"178","100bk17","100",2017,0,194,0,221
"179","100bk17","100",2017,0,194,0,222
"180","100bk17","100",2017,0,194,0,223
"181","100g14","100",2014,1,185,1,185
"182","100g14","100",2014,1,185,1,186
"183","100g14","100",2014,1,185,1,187
"184","100g14","100",2014,1,185,1,188
"185","100g14","100",2014,1,185,1,189
"186","100g14","100",2014,1,185,1,190
"187","100g14","100",2014,1,185,1,191
"188","100g14","100",2014,1,185,1,192
"189","100g14","100",2014,1,185,1,193
"190","100g14","100",2014,1,185,1,194
"191","100g14","100",2014,1,185,1,195
"192","100g14","100",2014,1,185,1,196
"193","100g14","100",2014,1,185,1,197
"194","100g14","100",2014,1,185,1,198
"195","100g14","100",2014,1,185,1,199
"196","100g14","100",2014,1,185,1,200
"197","100g14","100",2014,1,185,1,201
"198","100g14","100",2014,1,185,1,202
"199","100g14","100",2014,1,185,1,203
"200","100g14","100",2014,1,185,1,204
"201","100g14","100",2014,1,185,1,205
"202","100g14","100",2014,1,185,1,206
"203","100g14","100",2014,1,185,1,207
"204","100g14","100",2014,1,185,1,208
"205","100g14","100",2014,1,185,1,209
"206","100g14","100",2014,1,185,1,210
"207","100g14","100",2014,1,185,1,211
"208","100g14","100",2014,1,185,1,212
"209","100g14","100",2014,1,185,1,213
"210","100g14","100",2014,1,185,1,214
"211","100g16","130",2016,0,193,1,193
"212","100g16","130",2016,0,193,1,194
"213","100g16","130",2016,0,193,1,195
"214","100g16","130",2016,0,193,1,196
"215","100g16","130",2016,0,193,1,197
"216","100g16","130",2016,0,193,1,198
"217","100g16","130",2016,0,193,1,199
"218","100g16","130",2016,0,193,1,200
"219","100g16","130",2016,0,193,1,201
"220","100g16","130",2016,0,193,1,202
"221","100g16","130",2016,0,193,1,203
"222","100g16","130",2016,0,193,1,204
"223","100g16","130",2016,0,193,1,205
"224","100g16","130",2016,0,193,1,206
"225","100g16","130",2016,0,193,1,207
"226","100g16","130",2016,0,193,1,208
"227","100g16","130",2016,0,193,1,209
"228","100g16","130",2016,0,193,1,210
"229","100g16","130",2016,0,193,1,211
"230","100g16","130",2016,0,193,1,212
"231","100g16","130",2016,0,193,1,213
"232","100g16","130",2016,0,193,1,214
"233","100g16","130",2016,0,193,1,215
"234","100g16","130",2016,0,193,1,216
"235","100g16","130",2016,0,193,1,217
"236","100g16","130",2016,0,193,0,218
"237","100g16","130",2016,0,193,0,219
"238","100g16","130",2016,0,193,0,220
"239","100g16","130",2016,0,193,0,221
"240","100g16","130",2016,0,193,0,222
"241","100g17","100",2017,0,193,1,193
"242","100g17","100",2017,0,193,1,194
"243","100g17","100",2017,0,193,1,195
"244","100g17","100",2017,0,193,1,196
"245","100g17","100",2017,0,193,1,197
"246","100g17","100",2017,0,193,1,198
"247","100g17","100",2017,0,193,1,199
"248","100g17","100",2017,0,193,1,200
"249","100g17","100",2017,0,193,1,201
"250","100g17","100",2017,0,193,1,202
"251","100g17","100",2017,0,193,1,203
"252","100g17","100",2017,0,193,1,204
"253","100g17","100",2017,0,193,1,205
"254","100g17","100",2017,0,193,1,206
"255","100g17","100",2017,0,193,1,207
"256","100g17","100",2017,0,193,1,208
"257","100g17","100",2017,0,193,1,209
"258","100g17","100",2017,0,193,1,210
"259","100g17","100",2017,0,193,0,211
"260","100g17","100",2017,0,193,0,212
"261","100g17","100",2017,0,193,0,213
"262","100g17","100",2017,0,193,0,214
"263","100g17","100",2017,0,193,0,215
"264","100g17","100",2017,0,193,0,216
"265","100g17","100",2017,0,193,0,217
"266","100g17","100",2017,0,193,0,218
"267","100g17","100",2017,0,193,0,219
"268","100g17","100",2017,0,193,0,220
"269","100g17","100",2017,0,193,0,221
"270","100g17","100",2017,0,193,0,222
"271","100r14","100",2014,1,186,1,186
"272","100r14","100",2014,1,186,1,187
"273","100r14","100",2014,1,186,1,188
"274","100r14","100",2014,1,186,1,189
"275","100r14","100",2014,1,186,1,190
"276","100r14","100",2014,1,186,1,191
"277","100r14","100",2014,1,186,1,192
"278","100r14","100",2014,1,186,1,193
"279","100r14","100",2014,1,186,1,194
"280","100r14","100",2014,1,186,1,195
"281","100r14","100",2014,1,186,1,196
"282","100r14","100",2014,1,186,1,197
"283","100r14","100",2014,1,186,1,198
"284","100r14","100",2014,1,186,1,199
"285","100r14","100",2014,1,186,1,200
"286","100r14","100",2014,1,186,1,201
"287","100r14","100",2014,1,186,1,202
"288","100r14","100",2014,1,186,1,203
"289","100r14","100",2014,1,186,1,204
"290","100r14","100",2014,1,186,1,205
"291","100r14","100",2014,1,186,1,206
"292","100r14","100",2014,1,186,1,207
"293","100r14","100",2014,1,186,1,208
"294","100r14","100",2014,1,186,1,209
"295","100r14","100",2014,1,186,1,210
"296","100r14","100",2014,1,186,1,211
"297","100r14","100",2014,1,186,1,212
"298","100r14","100",2014,1,186,1,213
"299","100r14","100",2014,1,186,1,214
"300","100r14","100",2014,1,186,1,215
"301","100r16","100",2016,1,192,1,192
"302","100r16","100",2016,1,192,1,193
"303","100r16","100",2016,1,192,1,194
"304","100r16","100",2016,1,192,1,195
"305","100r16","100",2016,1,192,1,196
"306","100r16","100",2016,1,192,1,197
"307","100r16","100",2016,1,192,1,198
"308","100r16","100",2016,1,192,1,199
"309","100r16","100",2016,1,192,1,200
"310","100r16","100",2016,1,192,1,201
"311","100r16","100",2016,1,192,1,202
"312","100r16","100",2016,1,192,1,203
"313","100r16","100",2016,1,192,1,204
"314","100r16","100",2016,1,192,1,205
"315","100r16","100",2016,1,192,1,206
"316","100r16","100",2016,1,192,1,207
"317","100r16","100",2016,1,192,1,208
"318","100r16","100",2016,1,192,1,209
"319","100r16","100",2016,1,192,1,210
"320","100r16","100",2016,1,192,1,211
"321","100r16","100",2016,1,192,1,212
"322","100r16","100",2016,1,192,1,213
"323","100r16","100",2016,1,192,1,214
"324","100r16","100",2016,1,192,1,215
"325","100r16","100",2016,1,192,1,216
"326","100r16","100",2016,1,192,1,217
"327","100r16","100",2016,1,192,1,218
"328","100r16","100",2016,1,192,1,219
"329","100r16","100",2016,1,192,1,220
"330","100r16","100",2016,1,192,1,221
"331","100r17","100",2017,0,192,1,192
"332","100r17","100",2017,0,192,1,193
"333","100r17","100",2017,0,192,1,194
"334","100r17","100",2017,0,192,1,195
"335","100r17","100",2017,0,192,1,196
"336","100r17","100",2017,0,192,1,197
"337","100r17","100",2017,0,192,1,198
"338","100r17","100",2017,0,192,1,199
"339","100r17","100",2017,0,192,1,200
"340","100r17","100",2017,0,192,1,201
"341","100r17","100",2017,0,192,1,202
"342","100r17","100",2017,0,192,1,203
"343","100r17","100",2017,0,192,1,204
"344","100r17","100",2017,0,192,1,205
"345","100r17","100",2017,0,192,1,206
"346","100r17","100",2017,0,192,1,207
"347","100r17","100",2017,0,192,1,208
"348","100r17","100",2017,0,192,1,209
"349","100r17","100",2017,0,192,1,210
"350","100r17","100",2017,0,192,0,211
"351","100r17","100",2017,0,192,0,212
"352","100r17","100",2017,0,192,0,213
"353","100r17","100",2017,0,192,0,214
"354","100r17","100",2017,0,192,0,215
"355","100r17","100",2017,0,192,0,216
"356","100r17","100",2017,0,192,0,217
"357","100r17","100",2017,0,192,0,218
"358","100r17","100",2017,0,192,0,219
"359","100r17","100",2017,0,192,0,220
"360","100r17","100",2017,0,192,0,221
"361","110b16","110",2016,1,192,1,192
"362","110b16","110",2016,1,192,1,193
"363","110b16","110",2016,1,192,1,194
"364","110b16","110",2016,1,192,1,195
"365","110b16","110",2016,1,192,1,196
"366","110b16","110",2016,1,192,1,197
"367","110b16","110",2016,1,192,1,198
"368","110b16","110",2016,1,192,1,199
"369","110b16","110",2016,1,192,1,200
"370","110b16","110",2016,1,192,1,201
"371","110b16","110",2016,1,192,1,202
"372","110b16","110",2016,1,192,1,203
"373","110b16","110",2016,1,192,1,204
"374","110b16","110",2016,1,192,1,205
"375","110b16","110",2016,1,192,1,206
"376","110b16","110",2016,1,192,1,207
"377","110b16","110",2016,1,192,1,208
"378","110b16","110",2016,1,192,1,209
"379","110b16","110",2016,1,192,1,210
"380","110b16","110",2016,1,192,1,211
"381","110b16","110",2016,1,192,1,212
"382","110b16","110",2016,1,192,1,213
"383","110b16","110",2016,1,192,1,214
"384","110b16","110",2016,1,192,1,215
"385","110b16","110",2016,1,192,1,216
"386","110b16","110",2016,1,192,1,217
"387","110b16","110",2016,1,192,1,218
"388","110b16","110",2016,1,192,1,219
"389","110b16","110",2016,1,192,1,220
"390","110b16","110",2016,1,192,1,221
"391","110r16","110",2016,1,192,1,192
"392","110r16","110",2016,1,192,1,193
"393","110r16","110",2016,1,192,1,194
"394","110r16","110",2016,1,192,1,195
"395","110r16","110",2016,1,192,1,196
"396","110r16","110",2016,1,192,1,197
"397","110r16","110",2016,1,192,1,198
"398","110r16","110",2016,1,192,1,199
"399","110r16","110",2016,1,192,1,200
"400","110r16","110",2016,1,192,1,201
"401","110r16","110",2016,1,192,1,202
"402","110r16","110",2016,1,192,1,203
"403","110r16","110",2016,1,192,1,204
"404","110r16","110",2016,1,192,1,205
"405","110r16","110",2016,1,192,1,206
"406","110r16","110",2016,1,192,1,207
"407","110r16","110",2016,1,192,1,208
"408","110r16","110",2016,1,192,1,209
"409","110r16","110",2016,1,192,1,210
"410","110r16","110",2016,1,192,1,211
"411","110r16","110",2016,1,192,1,212
"412","110r16","110",2016,1,192,1,213
"413","110r16","110",2016,1,192,1,214
"414","110r16","110",2016,1,192,1,215
"415","110r16","110",2016,1,192,1,216
"416","110r16","110",2016,1,192,1,217
"417","110r16","110",2016,1,192,1,218
"418","110r16","110",2016,1,192,1,219
"419","110r16","110",2016,1,192,1,220
"420","110r16","110",2016,1,192,1,221
"421","119b14","119",2014,0,188,1,188
"422","119b14","119",2014,0,188,1,189
"423","119b14","119",2014,0,188,1,190
"424","119b14","119",2014,0,188,1,191
"425","119b14","119",2014,0,188,1,192
"426","119b14","119",2014,0,188,1,193
"427","119b14","119",2014,0,188,1,194
"428","119b14","119",2014,0,188,1,195
"429","119b14","119",2014,0,188,1,196
"430","119b14","119",2014,0,188,1,197
"431","119b14","119",2014,0,188,1,198
"432","119b14","119",2014,0,188,1,199
"433","119b14","119",2014,0,188,1,200
"434","119b14","119",2014,0,188,1,201
"435","119b14","119",2014,0,188,1,202
"436","119b14","119",2014,0,188,1,203
"437","119b14","119",2014,0,188,1,204
"438","119b14","119",2014,0,188,1,205
"439","119b14","119",2014,0,188,1,206
"440","119b14","119",2014,0,188,1,207
"441","119b14","119",2014,0,188,1,208
"442","119b14","119",2014,0,188,1,209
"443","119b14","119",2014,0,188,1,210
"444","119b14","119",2014,0,188,1,211
"445","119b14","119",2014,0,188,1,212
"446","119b14","119",2014,0,188,1,213
"447","119b14","119",2014,0,188,1,214
"448","119b14","119",2014,0,188,1,215
"449","119b14","119",2014,0,188,1,216
"450","119b14","119",2014,0,188,1,217
"451","119g14","119",2014,0,189,1,189
"452","119g14","119",2014,0,189,1,190
"453","119g14","119",2014,0,189,1,191
"454","119g14","119",2014,0,189,1,192
"455","119g14","119",2014,0,189,1,193
"456","119g14","119",2014,0,189,1,194
"457","119g14","119",2014,0,189,1,195
"458","119g14","119",2014,0,189,1,196
"459","119g14","119",2014,0,189,1,197
"460","119g14","119",2014,0,189,1,198
"461","119g14","119",2014,0,189,1,199
"462","119g14","119",2014,0,189,1,200
"463","119g14","119",2014,0,189,1,201
"464","119g14","119",2014,0,189,1,202
"465","119g14","119",2014,0,189,1,203
"466","119g14","119",2014,0,189,1,204
"467","119g14","119",2014,0,189,1,205
"468","119g14","119",2014,0,189,1,206
"469","119g14","119",2014,0,189,1,207
"470","119g14","119",2014,0,189,1,208
"471","119g14","119",2014,0,189,1,209
"472","119g14","119",2014,0,189,1,210
"473","119g14","119",2014,0,189,1,211
"474","119g14","119",2014,0,189,1,212
"475","119g14","119",2014,0,189,1,213
"476","119g14","119",2014,0,189,1,214
"477","119g14","119",2014,0,189,1,215
"478","119g14","119",2014,0,189,1,216
"479","119g14","119",2014,0,189,1,217
"480","119g14","119",2014,0,189,1,218
"481","119g15","119",2015,1,200,1,200
