ind,nest,chick,treatment,survival,brood,hatch,sex,year,cond,asynchrony,july,age,weight,tarsus,headbill,culmen,tc,tarsusratio,runt2,runt3,runt4,runt,c,y
28r13,28,red,1,1,3,1,f,2013,d,0,11,7,146,NA,NA,NA,NA,NA,0,0,0,0,r,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,25,703,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,22,686,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,17,542,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,13,395,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,8,156,NA,NA,NA,NA,NA,1,1,0,0,b,13
31b13,31,blue,0,1,4,3,f,2013,d,2,22,3,48,NA,NA,NA,NA,NA,1,1,0,0,b,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,26,721,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,23,740,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,18,573,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,14,425,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,9,196,NA,NA,NA,NA,NA,1,0,0,0,g,13
31g13,31,green,0,1,4,2,f,2013,d,1,21,4,65,NA,NA,NA,NA,NA,1,0,0,0,g,13
31r13,31,red,0,1,4,1,f,2013,d,0,20,27,761,NA,NA,NA,NA,NA,0,0,0,0,r,13
31r13,31,red,0,1,4,1,f,2013,d,0,20,24,829,NA,NA,NA,NA,NA,0,0,0,0,r,13
31r13,31,red,0,1,4,1,f,2013,d,0,20,19,631,NA,NA,NA,NA,NA,0,0,0,0,r,13
31r13,31,red,0,1,4,1,f,2013,d,0,20,15,492,NA,NA,NA,NA,NA,0,0,0,0,r,13
31r13,31,red,0,1,4,1,f,2013,d,0,20,10,221,NA,NA,NA,NA,NA,0,0,0,0,r,13
31r13,31,red,0,1,4,1,f,2013,d,0,20,5,76,NA,NA,NA,NA,NA,0,0,0,0,r,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,31,766,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,26,846,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,23,787,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,21,669,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,19,585,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,17,515,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,14,370,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,9,149,NA,NA,NA,NA,NA,1,1,1,1,b,13
33b13,33,blue,1,1,4,4,f,2013,d,2,11,4,67,NA,NA,NA,NA,NA,1,1,1,1,b,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,32,526,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,27,602,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,24,599,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,22,543,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,20,487,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,18,438,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,15,350,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,10,125,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33bk13,33,black,1,1,4,2,m,2013,d,1,10,5,77,NA,NA,NA,NA,NA,1,0,0,0,bk,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,31,538,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,26,614,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,23,610,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,21,550,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,19,480,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,17,445,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,14,359,NA,NA,NA,NA,NA,1,1,0,0,g,13
