"","date","year","month","day","maxTemp","minTemp","meanTemp","snoGrnd","precip","wind","site","prop"
"1",2017-06-06,2017,6,6,6.9,0.9,3.9,4,6.2,"70","1",0.98469387755102
"2",2017-06-07,2017,6,7,4.5,1.2,2.9,4,1.8,"82","1",0.99859943977591
"3",2017-06-08,2017,6,8,8.8,1.1,5,NA,0,"57","1",0.998613037447989
"4",2017-06-09,2017,6,9,8.3,0.4,4.4,NA,0,"35","1",1
"5",2017-06-10,2017,6,10,5.4,0.2,2.8,NA,0,"<31","1",1
"6",2017-06-11,2017,6,11,5.6,-0.2,2.7,NA,0,"35","1",0.9875
"7",2017-06-16,2017,6,16,11.7,1.2,6.5,NA,0,NA,"1",0.977511244377811
"8",2017-06-17,2017,6,17,17.2,5.1,11.2,NA,0,NA,"1",0.997222222222222
"9",2017-06-18,2017,6,18,11.3,5.2,8.3,NA,0,NA,"1",1
"10",2017-06-25,2017,6,25,14.7,6,10.4,NA,0,"46","1",0.99031007751938
"11",2017-06-26,2017,6,26,10.5,3.6,7.1,NA,0,"<31","1",0.999305555555556
"12",2017-06-27,2017,6,27,13.8,6.5,10.2,NA,1,"<31","1",1
"13",2017-06-28,2017,6,28,15.6,5.4,10.5,NA,0,"<31","1",0.997916666666667
"14",2017-06-29,2017,6,29,15.6,5.5,10.6,NA,0,"35","1",1
"15",2017-07-08,2017,7,8,17.5,6.6,12.1,NA,0,"76","1",1
"16",2017-07-09,2017,7,9,12.9,3.3,8.1,NA,0,"70","1",0.998611111111111
"17",2017-07-10,2017,7,10,14.2,2.8,8.5,NA,0,"43","1",1
"18",2017-07-11,2017,7,11,21.2,6.8,14,NA,0.6,"39","1",0.998611111111111
"19",2017-07-12,2017,7,12,13.6,7.8,10.7,NA,0,"<31","1",0.992231638418079
"20",2017-07-13,2017,7,13,13.6,7.7,10.7,NA,0.2,"<31","1",0.9875
"21",2017-07-14,2017,7,14,15.6,6,10.8,NA,0,"74","1",0.971527777777778
"22",2017-07-15,2017,7,15,23,10.3,16.7,NA,0,"65","1",1
"23",2017-07-16,2017,7,16,24.5,11.8,18.2,NA,0.2,"48","1",0.591800356506239
"24",2017-07-17,2017,7,17,13,6.5,9.8,NA,0,"57","1",0.886805555555556
"25",2017-07-18,2017,7,18,11.8,5.8,8.8,NA,0.2,"65","1",0.931944444444444
"26",2017-07-19,2017,7,19,10.2,5.5,7.9,NA,1.4,"93","1",0.945138888888889
"27",2017-07-20,2017,7,20,13.1,5.5,9.3,NA,0.2,"69","1",0.933333333333333
"28",2017-07-21,2017,7,21,18.6,6.7,12.7,NA,0,"43","1",0.517361111111111
"29",2017-07-22,2017,7,22,20.4,9.3,14.9,NA,0,"35","1",0.868725868725869
"30",2017-07-23,2017,7,23,14.1,8.8,11.5,NA,0.2,"59","1",0.639705882352941
"31",2017-06-14,2017,6,14,7.9,0.9,4.4,NA,1.2,"46","100",0.968404423380727
"32",2017-06-15,2017,6,15,7.9,0.9,4.4,NA,0,NA,"100",1
"33",2017-06-16,2017,6,16,11.7,1.2,6.5,NA,0,NA,"100",1
"34",2017-06-17,2017,6,17,17.2,5.1,11.2,NA,0,NA,"100",1
"35",2017-06-18,2017,6,18,11.3,5.2,8.3,NA,0,NA,"100",1
"36",2017-06-19,2017,6,19,16.2,4.4,10.3,NA,1,NA,"100",1
"37",2017-06-20,2017,6,20,12.6,5,8.8,NA,0,"<31","100",1
"38",2017-06-21,2017,6,21,7.3,2.9,5.1,NA,2.4,"<31","100",1
"39",2017-06-22,2017,6,22,9.9,4.1,7,NA,0,"35","100",1
"40",2017-06-23,2017,6,23,11.6,5.2,8.4,NA,0,"39","100",1
"41",2017-06-24,2017,6,24,17,6.1,11.6,NA,0,"37","100",0.998611111111111
"42",2017-06-25,2017,6,25,14.7,6,10.4,NA,0,"46","100",0.997222222222222
"43",2017-06-26,2017,6,26,10.5,3.6,7.1,NA,0,"<31","100",1
"44",2017-06-27,2017,6,27,13.8,6.5,10.2,NA,1,"<31","100",1
"45",2017-06-28,2017,6,28,15.6,5.4,10.5,NA,0,"<31","100",1
"46",2017-06-29,2017,6,29,15.6,5.5,10.6,NA,0,"35","100",1
"47",2017-06-30,2017,6,30,14.5,4.2,9.4,NA,0,"<31","100",1
"48",2017-07-01,2017,7,1,19.6,6.8,13.2,NA,0,"<31","100",1
"49",2017-07-02,2017,7,2,20.9,10.1,15.5,NA,0,"32","100",1
"50",2017-07-03,2017,7,3,23,10.8,16.9,NA,0,"37","100",0.994444444444444
"51",2017-07-04,2017,7,4,11.9,6.1,9,NA,0.4,"33","100",0.988888888888889
"52",2017-07-05,2017,7,5,15.2,6.7,11,NA,0.2,"33","100",0.997916666666667
"53",2017-07-06,2017,7,6,21.7,10.1,15.9,NA,0,"59","100",0.986805555555556
"54",2017-07-07,2017,7,7,15.1,8.5,11.8,NA,1.4,"56","100",1
"55",2017-07-08,2017,7,8,17.5,6.6,12.1,NA,0,"76","100",0.999305555555556
"56",2017-07-09,2017,7,9,12.9,3.3,8.1,NA,0,"70","100",1
"57",2017-07-10,2017,7,10,14.2,2.8,8.5,NA,0,"43","100",1
"58",2017-07-11,2017,7,11,21.2,6.8,14,NA,0.6,"39","100",0.998611111111111
"59",2017-07-12,2017,7,12,13.6,7.8,10.7,NA,0,"<31","100",0.992361111111111
"60",2017-07-13,2017,7,13,13.6,7.7,10.7,NA,0.2,"<31","100",0.988194444444444
"61",2017-07-14,2017,7,14,15.6,6,10.8,NA,0,"74","100",0.985416666666667
"62",2017-07-15,2017,7,15,23,10.3,16.7,NA,0,"65","100",0.977777777777778
"63",2017-07-16,2017,7,16,24.5,11.8,18.2,NA,0.2,"48","100",0.914583333333333
"64",2017-07-17,2017,7,17,13,6.5,9.8,NA,0,"57","100",0.955555555555556
"65",2017-07-18,2017,7,18,11.8,5.8,8.8,NA,0.2,"65","100",0.971527777777778
"66",2017-07-19,2017,7,19,10.2,5.5,7.9,NA,1.4,"93","100",0.979861111111111
"67",2017-07-20,2017,7,20,13.1,5.5,9.3,NA,0.2,"69","100",0.898931799506984
"68",2017-07-21,2017,7,21,18.6,6.7,12.7,NA,0,"43","100",0.526752072343632
"69",2017-07-22,2017,7,22,20.4,9.3,14.9,NA,0,"35","100",0.306952662721893
"70",2017-07-23,2017,7,23,14.1,8.8,11.5,NA,0.2,"59","100",0.33125
"71",2017-07-24,2017,7,24,19.7,8,13.9,NA,0,"56","100",0.330950679056469
"72",2017-07-25,2017,7,25,14.2,9.2,11.7,NA,0.4,"39","100",0.528703047484054
"73",2017-07-26,2017,7,26,16.3,7.5,11.9,NA,0,"70","100",0.109781843771992
"74",2017-07-27,2017,7,27,14.6,8.6,11.6,NA,0,"50","100",0.0415785764622974
"75",2017-07-28,2017,7,28,11.1,6.7,8.9,NA,12.6,"61","100",0.0993836671802773
"76",2017-07-29,2017,7,29,12.9,6.4,9.7,NA,19.4,"69","100",0.565836298932384
"77",2017-07-30,2017,7,30,19.1,5.5,12.3,NA,0,"50","100",1
"78",2017-07-05,2017,7,5,15.2,6.7,11,NA,0.2,"33","11",0.983640081799591
"79",2017-07-06,2017,7,6,21.7,10.1,15.9,NA,0,"59","11",0.997222222222222
"80",2017-07-07,2017,7,7,15.1,8.5,11.8,NA,1.4,"56","11",1
"81",2017-07-08,2017,7,8,17.5,6.6,12.1,NA,0,"76","11",0.993089832181639
"82",2017-06-05,2017,6,5,10.5,0.7,5.6,NA,0.2,"<31","12",0.877697841726619
