"","ind","nest","chick","sex","year","age","weight","hatch_day"
"112","35g13",35,"green","f",2013,10,273,2013-07-19
"113","35g13",35,"green","f",2013,5,96,2013-07-19
"114","35g13",35,"green","f",2013,1,36,2013-07-19
"115","35r13",35,"red","m",2013,29,610,2013-07-16
"116","35r13",35,"red","m",2013,23,620,2013-07-16
"117","35r13",35,"red","m",2013,18,560,2013-07-16
"118","35r13",35,"red","m",2013,13,365,2013-07-16
"119","35r13",35,"red","m",2013,8,194,2013-07-16
"120","35r13",35,"red","m",2013,4,70,2013-07-16
"121","39b13",39,"blue","m",2013,27,557,2013-07-19
"122","39b13",39,"blue","m",2013,20,578,2013-07-19
"123","39b13",39,"blue","m",2013,12,346,2013-07-19
"124","39b13",39,"blue","m",2013,7,155,2013-07-19
"125","39b13",39,"blue","m",2013,2,52,2013-07-19
"126","39g13",39,"green","m",2013,31,595,2013-07-15
"127","39g13",39,"green","m",2013,24,561,2013-07-15
"128","39g13",39,"green","m",2013,16,400,2013-07-15
"129","39g13",39,"green","m",2013,11,242,2013-07-15
"130","39g13",39,"green","m",2013,6,101,2013-07-15
"131","4b13",4,"blue","m",2013,27,592,2013-07-12
"132","4b13",4,"blue","m",2013,22,520,2013-07-12
"133","4b13",4,"blue","m",2013,19,501,2013-07-12
"134","4b13",4,"blue","m",2013,16,406,2013-07-12
"135","4b13",4,"blue","m",2013,11,250,2013-07-12
"136","4b13",4,"blue","m",2013,7,123,2013-07-12
"137","4bk13",4,"black","f",2013,25,831,2013-07-14
"138","4bk13",4,"black","f",2013,20,734,2013-07-14
"139","4bk13",4,"black","f",2013,17,606,2013-07-14
"140","4bk13",4,"black","f",2013,14,470,2013-07-14
"141","4bk13",4,"black","f",2013,9,230,2013-07-14
"142","4bk13",4,"black","f",2013,5,104,2013-07-14
"143","4g13",4,"green","f",2013,26,810,2013-07-13
"144","4g13",4,"green","f",2013,21,691,2013-07-13
"145","4g13",4,"green","f",2013,18,629,2013-07-13
"146","4g13",4,"green","f",2013,15,482,2013-07-13
"147","4g13",4,"green","f",2013,10,258,2013-07-13
"148","4g13",4,"green","f",2013,6,116,2013-07-13
"149","4r13",4,"red","m",2013,24,564,2013-07-15
"150","4r13",4,"red","m",2013,19,472,2013-07-15
"151","4r13",4,"red","m",2013,16,408,2013-07-15
"152","4r13",4,"red","m",2013,13,305,2013-07-15
"153","4r13",4,"red","m",2013,8,139,2013-07-15
"154","4r13",4,"red","m",2013,4,62,2013-07-15
"155","67b13",67,"blue","f",2013,26,840,2013-07-15
"156","67b13",67,"blue","f",2013,21,785,2013-07-15
"157","67b13",67,"blue","f",2013,17,560,2013-07-15
"158","67b13",67,"blue","f",2013,12,298,2013-07-15
"159","67b13",67,"blue","f",2013,7,130,2013-07-15
"160","67b13",67,"blue","f",2013,4,86,2013-07-15
"161","67bk13",67,"black","m",2013,25,571,2013-07-17
"162","67bk13",67,"black","m",2013,19,543,2013-07-17
"163","67bk13",67,"black","m",2013,15,385,2013-07-17
"164","67bk13",67,"black","m",2013,10,225,2013-07-17
"165","67bk13",67,"black","m",2013,5,76,2013-07-17
"166","67bk13",67,"black","m",2013,2,50,2013-07-17
"167","67r13",67,"red","m",2013,27,602,2013-07-14
"168","67r13",67,"red","m",2013,22,585,2013-07-14
"169","67r13",67,"red","m",2013,19,450,2013-07-14
"170","67r13",67,"red","m",2013,13,280,2013-07-14
"171","67r13",67,"red","m",2013,8,117,2013-07-14
"172","67r13",67,"red","m",2013,5,71,2013-07-14
"173","72b13",72,"blue","f",2013,29,753,2013-07-16
"174","72b13",72,"blue","f",2013,22,664,2013-07-16
"175","72b13",72,"blue","f",2013,15,295,2013-07-16
